model_name,optimizer,model_key,seed_word_urdu,seed_word_english,temperature,generated_text,vocab_diversity,repetition_rate,avg_word_length,total_words,unique_words,fluency_rating,coherence_rating,poetic_rating,creativity_rating,cultural_rating,overall_score
RNN,Adam,RNN_Adam,محبت,Love,1.0,محبت سب گر خنجر ہو دن سے کو لوں سی تھے جو خوردہ جہاں چمن مبتلائے شرم جس یاں نظر صبح آنے رسول صنم روشن کے,1.0,0.0,3.0384615384615383,26,26,5.0,3.0,5.0,4.0,3.0,4.0
RNN,Adam,RNN_Adam,محبت,Love,1.3,محبت ترا اپنا کیا زینہار نظروں افشاں اک سلامت اتر حیا شوخیٔ نہیں رہا بہ کار کدھر گی کہ سارے کو ایسے کے رہے کہ آسماں,0.9615384615384616,0.0,3.4615384615384617,26,25,5.0,2.0,5.0,5.0,3.0,4.0
RNN,Adam,RNN_Adam,دل,Heart,1.3,دل ملامت ساقی لے کا تھی پھندا نکلنا خواب آشنا رکھوں آستانہ کے کسے تبسم فروزاں نکتہ جا آرا جھگڑا قتل صبر حق ان بیدل دوں,1.0,0.0,3.6153846153846154,26,26,5.0,2.0,5.0,5.0,3.0,4.0
RNN,RMSprop,RNN_RMSprop,محبت,Love,1.3,محبت کس خنجر ہوا گل وارفتگی دکھانے کی صاف موجۂ بار راندۂ تمدن دار کمخواب کلی معصومیت دیکھنے کہ مے عرفاں آلا نیر زائد شکوۂ مجھے,1.0,0.0,3.923076923076923,26,26,5.0,2.0,5.0,5.0,3.0,4.0
RNN,RMSprop,RNN_RMSprop,شام,Evening,1.0,شام کیا بے جائے لوگ در نہ ہم الم کا تغافل پڑتا قامت کدے کہ تھی آ فیکوں تھا زنان بتلاؤ نفرت لیں مری کی سب,1.0,0.0,3.0384615384615383,26,26,5.0,3.0,5.0,4.0,3.0,4.0
RNN,RMSprop,RNN_RMSprop,شام,Evening,1.3,شام میں معنی دھڑکن صبا وہ گاۂ مکافات انکھیاں ارادہ بدل گوشہ راہ سوختہ سو عناں ملنے گے دن مرجھائے بے رات جھلملاتی سے ہے لہو,1.0,0.0,3.730769230769231,26,26,5.0,2.0,5.0,5.0,3.0,4.0
RNN,SGD,RNN_SGD,دل,Heart,1.3,دل پہ جام جاں گردون حزیں جسے عطر لکھیں رہ کر حکیم حیواں سے برباد بولتا ملتا ربط ہوگا سامنا ہے زر کے کام نگیں کو,1.0,0.0,3.3076923076923075,26,26,5.0,2.0,5.0,5.0,3.0,4.0
RNN,SGD,RNN_SGD,شام,Evening,1.3,شام مسطح کو کمتریں آساں جائیے <OOV> تھے ہم میں خرابوں گلیوں کے ندی ٹھہرا ملیں نہیں دیتے ہے پاک کھلی عیش عرصۂ بحر جس کو,0.9615384615384616,0.0,3.576923076923077,26,25,5.0,2.0,5.0,5.0,3.0,4.0
RNN,SGD,RNN_SGD,یاد,Memory,1.3,یاد خاک ساحری نیم لطف فاصلہ بڑے پیکان پھری ہوتا ہو شراب لیکن یار بھی دو تہذیب نکلے نہ ہمدمو لمحہ میں شرافت پرانا کیوں چکی,1.0,0.0,3.6923076923076925,26,26,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,Adam,LSTM_Adam,محبت,Love,1.3,محبت چاپ ایک اب بھی تو کو داماں نیاز دلیل کہ رہنے کا علم تھی ورنہ نظر لیتے ہیں وہ تماشائی بر وفا مگر کے علویؔ,1.0,0.0,3.230769230769231,26,26,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,Adam,LSTM_Adam,دل,Heart,1.3,دل گرے پھرتی بنے ہو بسکہ ہے کف مری تیر کہا تھی آپ کو میں شرح کہنہ نیاز سکا نہ کرم کی رخصت جاؤ کہ گناہی,1.0,0.0,3.0,26,26,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,Adam,LSTM_Adam,یاد,Memory,1.3,یاد نے ہی دار ہمت شاید جس پنہاں دیکھا ہوتی نہیں گیا بدعت شیشہ عمر شب چمن ہے اسیری ٹکرا میں تمثال کہ کوئی آئینۂ آشنائیاں,1.0,0.0,3.6153846153846154,26,26,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,RMSprop,LSTM_RMSprop,شام,Evening,1.3,شام بنے جائے حقائق کرے اجازت غذا ہم دیوانا کو ہیں غالبؔ تاثیر پر کچھ چھپا ہے میں گدگدا ٹھہرا نہ صحرا ہوتی ہے دشمن ہو,0.9615384615384616,0.0,3.5,26,25,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,RMSprop,LSTM_RMSprop,خوشی,Happiness,1.3,خوشی موت سے بٹے نے ہستیٔ فرمودۂ تپیدن اظہار ہے نگہی روکے وراثت ترچھی بار بال نہیں دل غم قراری جمی نے رنگیٔ فاختہ اپمان وقار,0.9615384615384616,0.0,3.769230769230769,26,25,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,RMSprop,LSTM_RMSprop,محبت,Love,1.0,محبت بوقت جاتا ہے صلائے سے ہے میرے تھے گدائے اب ہوں گے بھی چھوڑتے رہے ہیں جب ملوک گی در کرکے جب کسی کی مطلب,0.9230769230769231,0.0,3.1538461538461537,26,24,5.0,3.0,5.0,3.0,3.0,3.8
LSTM,SGD,LSTM_SGD,محبت,Love,1.3,محبت ہیں یکتا رکھ بھی میں کیا گزرا ہو گمانی چلے ہاتھ تو خراش خاک ہوئے رونق ہے جمال معاملہ رہزن کا قدر گی اختصار عام,1.0,0.0,3.4615384615384617,26,26,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,SGD,LSTM_SGD,دل,Heart,1.3,دل یہ چھالے عالم غالبؔ ولے کے انہیں کو یاراں رہا الٹی جائے جلاد نہیں بنے بیدلؔ تک کہ رب کرو دست جسے تھی زندہ کہ,0.9615384615384616,0.0,3.3076923076923075,26,25,5.0,2.0,5.0,5.0,3.0,4.0
LSTM,SGD,LSTM_SGD,شام,Evening,1.3,شام کیوں یادگار سن انکار وجد پہ تھکنے ہوں یکسر ہو گھرا کوئی تر گے درندوں مر گئیں ہم چوک گا دل تھا آ ہیں دیتا,1.0,0.0,3.1923076923076925,26,26,5.0,2.0,5.0,5.0,3.0,4.0
Transformer,Adam,Transformer_Adam,محبت,Love,1.3,محبت مشت تسلیم کر جائے کافر بن ظلمت ہیں حسن خاک موج بنائے ہے ہم قتل بدن انفاس کے گھر رہزن سرشتہ کلیجے مری مہ کارخانے,1.0,0.0,3.5,26,26,5.0,2.0,5.0,5.0,3.0,4.0
Transformer,Adam,Transformer_Adam,دل,Heart,1.3,دل جائیے کرتا ترے روشن کہتے مل پیڑوں شش ہے تھیں ڈوبیں انہیں کا ہے یہاں رندانہ چھیڑے نظارہ سینکڑوں کو نام پرستی ماتھے نہ مزاج,0.9615384615384616,0.0,3.8076923076923075,26,25,5.0,2.0,5.0,5.0,3.0,4.0
Transformer,Adam,Transformer_Adam,شام,Evening,1.3,شام دید سامان لالۂ کا رسم داد ہے مقتل اثر نیازی رہنا سے دکھلا رباب راتیں دبی پہ ضامن سوگ گل ہاتھ لخت وفا نامور ہوئی,1.0,0.0,3.5,26,26,5.0,2.0,5.0,5.0,3.0,4.0
Transformer,RMSprop,Transformer_RMSprop,خوشی,Happiness,1.3,خوشی لوگ الحاں نے حوالے ہوتا ہیں ساقی ہے بدخشاں سے دے بھی محفل ببروں تھی گئی چلے لہکنا تھے رو گے خودی آ بہلایئے وہ,1.0,0.0,3.423076923076923,26,26,5.0,2.0,5.0,5.0,3.0,4.0
Transformer,RMSprop,Transformer_RMSprop,محبت,Love,1.0,محبت کے دھوپ مرے کی مجمر یعنی میں گھات ہے دونی فتنۂ ہے نہیں کا کیجئے جئیں محشر حقیقت ہے ابر سے ہے رہا ہے ہے,0.8076923076923077,0.0,3.1538461538461537,26,21,5.0,3.0,5.0,3.0,3.0,3.8
Transformer,RMSprop,Transformer_RMSprop,محبت,Love,1.3,محبت جکڑا ڈھلا عشق ہیں کو کیا کیا تھا ہو بھی کاشانوں ادب کرے ہو عنبر ہے نہ عذرا ممکنہ چاٹ کھول ہادی آشفتگی نامحرم گواہ,0.9230769230769231,0.0,3.576923076923077,26,24,5.0,2.0,5.0,4.0,3.0,3.8
Transformer,SGD,Transformer_SGD,محبت,Love,1.3,محبت دھوپ عشق خدمت دولت نے بہی مشرب تھی بے تمہیں دریا رو ہو ہے جان گزر اندھیر زندگی نہ گیا ہے ہے مری دار لائیں,0.9230769230769231,0.0,3.269230769230769,26,24,5.0,2.0,5.0,4.0,3.0,3.8
Transformer,SGD,Transformer_SGD,دل,Heart,1.0,دل کتاب خلوت میں دنوں سنبھال نہیں مانگے نہ ہے بے سوال گیا میں تھا ہے رہا رہا رہا ہے خواب آوارگی میں مری ہو ہوں,0.7692307692307693,0.040000000000000036,3.269230769230769,26,20,5.0,3.0,5.0,3.0,3.0,3.8
Transformer,SGD,Transformer_SGD,دل,Heart,1.3,دل تو کربلا تراشے چاہئے تو کریں عشق ہوتا آئے ہے میں بھلا ہے ہوگا کیا پاؤ نالے پاؤ ہے لیسنس کو لگیں گے منیں <OOV>,0.8461538461538461,0.0,3.3461538461538463,26,22,5.0,2.0,5.0,4.0,3.0,3.8
