model_name,optimizer,model_key,seed_word_urdu,seed_word_english,temperature,generated_text,vocab_diversity,repetition_rate,avg_word_length,total_words,unique_words
RNN,Adam,RNN_Adam,محبت,Love,0.7,محبت کا مگر بھی کی ہاتھ ہیں بھی ہے تو شوق پہ میں کا لذت سے کام وہ تو ہزاروں سر کی سے پھول نے ہے,0.7692307692307693,0.0,2.6923076923076925,26,20
RNN,Adam,RNN_Adam,محبت,Love,1.0,محبت سب گر خنجر ہو دن سے کو لوں سی تھے جو خوردہ جہاں چمن مبتلائے شرم جس یاں نظر صبح آنے رسول صنم روشن کے,1.0,0.0,3.0384615384615383,26,26
RNN,Adam,RNN_Adam,محبت,Love,1.3,محبت ترا اپنا کیا زینہار نظروں افشاں اک سلامت اتر حیا شوخیٔ نہیں رہا بہ کار کدھر گی کہ سارے کو ایسے کے رہے کہ آسماں,0.9615384615384616,0.0,3.4615384615384617,26,25
RNN,Adam,RNN_Adam,دل,Heart,0.7,دل سے ہے کی انداز بزم بنا نہ کوں خطا پردے میں ترا کو بھی بے ہوئے بھلا کہانی اگر کے کیا کو ذرا کیا صورت,0.9230769230769231,0.0,2.9615384615384617,26,24
RNN,Adam,RNN_Adam,دل,Heart,1.0,دل جست تھا ہے کیا عاشق خاموش زبان پڑی قابو دل میں ہوا تقاضا سورج ہے نہ لچک یار انداز کے زلف چور دروازہ رہ پوچھ,0.9230769230769231,0.0,3.269230769230769,26,24
RNN,Adam,RNN_Adam,دل,Heart,1.3,دل ملامت ساقی لے کا تھی پھندا نکلنا خواب آشنا رکھوں آستانہ کے کسے تبسم فروزاں نکتہ جا آرا جھگڑا قتل صبر حق ان بیدل دوں,1.0,0.0,3.6153846153846154,26,26
RNN,Adam,RNN_Adam,شام,Evening,0.7,شام میں چلو عمر ہیں یوں میں فسانہ ہے باقی چھپتا کی مرا حاصل رسم سر ہوں ہے کا نہ ہے کی مگر کی ہے اگر,0.7692307692307693,0.0,2.8461538461538463,26,20
RNN,Adam,RNN_Adam,شام,Evening,1.0,شام زمین ہے شعلۂ روئے لگے میں سبحہ کے قسم ملنے تڑپا لوٹا و کہ آج دھو جفا ناوک کیا سے ہے سے مکان ملک پیاری,0.9230769230769231,0.0,3.076923076923077,26,24
RNN,Adam,RNN_Adam,شام,Evening,1.3,شام کوں تر رہا حق پر اکیلا ہے سحر چڑھائے ابھرے فروش یار جائے سے مت صدا بھی شیرازہ گناہ آنکھیں منطق ایسی سجا کہتا محو,1.0,0.0,3.5,26,26
RNN,Adam,RNN_Adam,یاد,Memory,0.7,یاد ہے کے بے ہیں میں میں گا پھر سر کسی سنتے عید بھی میری تک میں یوں بن ہے کہ کے کافر ہے اب اور,0.8076923076923077,0.0,2.6538461538461537,26,21
RNN,Adam,RNN_Adam,یاد,Memory,1.0,یاد کی اکبرؔ جو رخ اس گئی ہوا ادا مت کام تو سکے ہو سب ریختہ بھرے نے کیا گزر کے آیا میری شیرینی ہے سال,1.0,0.0,2.923076923076923,26,26
RNN,Adam,RNN_Adam,یاد,Memory,1.3,یاد مفلسی صحبت دھواں کر رنگیں چمک جم ہیں ظرف آج آئے ملے کٹ دھوپ شاعر بنتا شہید کون جنبش آندھیوں کو معصومیت کی آشفتہ پیرہن,1.0,0.0,3.6923076923076925,26,26
RNN,Adam,RNN_Adam,خوشی,Happiness,0.7,خوشی کو نہیں کہتا ایسے تو نہ سے ہیں بے بھی گئی یار کو اب ہو ہے کی ہے ابھی تھی وفا پر دل کا کو,0.8846153846153846,0.0,2.6153846153846154,26,23
RNN,Adam,RNN_Adam,خوشی,Happiness,1.0,خوشی تدبیر لیے کیا کیسا گیا دل فریاد اگر نہیں عہد جینے کہاں کہ ہے طلسم اگر تخت تصویر یا صبر پر کا تو پیاری نیا,0.9615384615384616,0.0,3.269230769230769,26,25
RNN,Adam,RNN_Adam,خوشی,Happiness,1.3,خوشی جرس دکھلا جاتی نیستی زاہد خمیدہ سر زلف تمہیں ہے اڑ حکیم تدرو موجۂ گھر مر لوگ آگ خانہ سویداۓ دل رضا برباد چور چراغان,1.0,0.0,3.6538461538461537,26,26
RNN,RMSprop,RNN_RMSprop,محبت,Love,0.7,محبت آدمی ہے دیا میں میں عالم دیں تو ہے نظر ہوئے سے چکیں تھی ہیں ہیں کو ہوا اس رہا کیا ہے کرے ہیں اور,0.8076923076923077,0.0,2.923076923076923,26,21
RNN,RMSprop,RNN_RMSprop,محبت,Love,1.0,محبت دل کہ کچھ ہی ہم و کو ہے نہہ سے کوئی ٹوٹیں ہے بہانہ تھی کا تو نگہباں اس ترے پر فرو کو پھینکے ہے,0.8846153846153846,0.0,2.8461538461538463,26,23
RNN,RMSprop,RNN_RMSprop,محبت,Love,1.3,محبت کس خنجر ہوا گل وارفتگی دکھانے کی صاف موجۂ بار راندۂ تمدن دار کمخواب کلی معصومیت دیکھنے کہ مے عرفاں آلا نیر زائد شکوۂ مجھے,1.0,0.0,3.923076923076923,26,26
RNN,RMSprop,RNN_RMSprop,دل,Heart,0.7,دل ہے کو عشق سے کے ہے کوئی کے وہ نہیں کھوٹے آواز تو ان نہ کے ہے پر کے بھی میں ہے پہ کے کے,0.6923076923076923,0.040000000000000036,2.4615384615384617,26,18
RNN,RMSprop,RNN_RMSprop,دل,Heart,1.0,دل کہ کے ہے ہیں بوریا پڑھیں میری خلل کہ رخ سرشت غیر جوہر کے پر ہے نہ یہ بلاغت ہے نظر جلاد اگر جاتا بسملوں,0.8461538461538461,0.0,3.076923076923077,26,22
RNN,RMSprop,RNN_RMSprop,دل,Heart,1.3,دل بجھائے چھانی کے چاہتیں نفس میں استماع شہسواروں مطلق ماتے غم دلا برا کے غموں سوزن کی گا جانے غم نظام تسلی قدر دونوں کلاں,0.9230769230769231,0.0,3.730769230769231,26,24
RNN,RMSprop,RNN_RMSprop,شام,Evening,0.7,شام ہے میں کیا الوطن اب گے بے ہے کے کیا ہے تو سے نے ہے تھی کہ کو میں و گئے ہوئی میں ديکھا کی,0.7692307692307693,0.0,2.576923076923077,26,20
RNN,RMSprop,RNN_RMSprop,شام,Evening,1.0,شام کیا بے جائے لوگ در نہ ہم الم کا تغافل پڑتا قامت کدے کہ تھی آ فیکوں تھا زنان بتلاؤ نفرت لیں مری کی سب,1.0,0.0,3.0384615384615383,26,26
RNN,RMSprop,RNN_RMSprop,شام,Evening,1.3,شام میں معنی دھڑکن صبا وہ گاۂ مکافات انکھیاں ارادہ بدل گوشہ راہ سوختہ سو عناں ملنے گے دن مرجھائے بے رات جھلملاتی سے ہے لہو,1.0,0.0,3.730769230769231,26,26
RNN,RMSprop,RNN_RMSprop,یاد,Memory,0.7,یاد اللہ ہے دو دل ہے مگر ہے کا اس تھا سے کے ہوتا کو نہیں ہیں میں نہ ہے میں بات خوش ہے کی کرو,0.8076923076923077,0.0,2.576923076923077,26,21
RNN,RMSprop,RNN_RMSprop,یاد,Memory,1.0,یاد پہنچے ہے کے آئینۂ مشکل خواہی گرا جبہہ وہی ہو کی ہے کی بزم پھر اڑنے تھا پر غیر سبد لب نہیں اک افزائش قصۂ,0.9230769230769231,0.0,3.1538461538461537,26,24
