Model,Seed (UR),Seed (EN),Temp,Generated Poetry,Score,Diversity,Coherence
RNN_Adam,محبت,Love,1.0,محبت سب گر خنجر ہو دن سے کو لوں سی تھے جو خوردہ جہاں چمن مبتلائے شرم جس یاں نظر صبح آنے رسول صنم روشن کے,4.00,1.000,3.0
RNN_Adam,محبت,Love,1.3,محبت ترا اپنا کیا زینہار نظروں افشاں اک سلامت اتر حیا شوخیٔ نہیں رہا بہ کار کدھر گی کہ سارے کو ایسے کے رہے کہ آسماں,4.00,0.962,2.0
RNN_Adam,دل,Heart,1.3,دل ملامت ساقی لے کا تھی پھندا نکلنا خواب آشنا رکھوں آستانہ کے کسے تبسم فروزاں نکتہ جا آرا جھگڑا قتل صبر حق ان بیدل دوں,4.00,1.000,2.0
RNN_Adam,شام,Evening,1.3,شام کوں تر رہا حق پر اکیلا ہے سحر چڑھائے ابھرے فروش یار جائے سے مت صدا بھی شیرازہ گناہ آنکھیں منطق ایسی سجا کہتا محو,4.00,1.000,2.0
RNN_Adam,یاد,Memory,1.0,یاد کی اکبرؔ جو رخ اس گئی ہوا ادا مت کام تو سکے ہو سب ریختہ بھرے نے کیا گزر کے آیا میری شیرینی ہے سال,4.00,1.000,3.0
RNN_Adam,یاد,Memory,1.3,یاد مفلسی صحبت دھواں کر رنگیں چمک جم ہیں ظرف آج آئے ملے کٹ دھوپ شاعر بنتا شہید کون جنبش آندھیوں کو معصومیت کی آشفتہ پیرہن,4.00,1.000,2.0
RNN_Adam,خوشی,Happiness,1.3,خوشی جرس دکھلا جاتی نیستی زاہد خمیدہ سر زلف تمہیں ہے اڑ حکیم تدرو موجۂ گھر مر لوگ آگ خانہ سویداۓ دل رضا برباد چور چراغان,4.00,1.000,2.0
RNN_RMSprop,محبت,Love,1.3,محبت کس خنجر ہوا گل وارفتگی دکھانے کی صاف موجۂ بار راندۂ تمدن دار کمخواب کلی معصومیت دیکھنے کہ مے عرفاں آلا نیر زائد شکوۂ مجھے,4.00,1.000,2.0
RNN_RMSprop,شام,Evening,1.0,شام کیا بے جائے لوگ در نہ ہم الم کا تغافل پڑتا قامت کدے کہ تھی آ فیکوں تھا زنان بتلاؤ نفرت لیں مری کی سب,4.00,1.000,3.0
RNN_RMSprop,شام,Evening,1.3,شام میں معنی دھڑکن صبا وہ گاۂ مکافات انکھیاں ارادہ بدل گوشہ راہ سوختہ سو عناں ملنے گے دن مرجھائے بے رات جھلملاتی سے ہے لہو,4.00,1.000,2.0
